region,symbol,size_bytes,section,source,address_hex
RAM_D2,(anonymous),135204,.ram_d2_lut,./Src/Seq/seq_model.o,0x3000FD00
RAM_D2,(anonymous),36864,.ram_d2_lut,./Src/Seq/seq_param_iface.o,0x30030D24
RAM_D1,(anonymous),16568,.bss.s_cb,./Src/Audio/fx_bus_compressor.o,0x24007480
RAM_D2,tanhtab,16384,.ram_d2_lut,./Micro_Dexed/exp2.o,0x30003B00
RAM_D2,(anonymous),12548,.ram_d2_lut,./Src/Seq/seq_clipboard.o,0x3000CB6C
RAM_D1,(anonymous),8192,.bss.adc1_dma,./Src/App/Hall/hall_calibration.o,0x24002F58
RAM_D1,(anonymous),8192,.bss.adc1_dma,./Src/App/Hall/hall_calibration.o,0x24004F58
RAM_D2,(anonymous),8192,.ram_d2_dma,./Src/Audio/audio.o,0x30000B00
RAM_D2,sintab,8192,.ram_d2_lut,./Micro_Dexed/sin.o,0x30008D04
RAM_D2,(anonymous),7720,.ram_d2_lut,./Src/Param/param_registry.o,0x3000AD44
RAM_D1,(anonymous),6216,.bss.g_rec,./Src/Audio/sd_multitrack_recorder.o,0x2400D960
RAM_D1,(anonymous),4608,.bss.g_slots,./Src/Audio/mixer.o,0x2400BB60
RAM_D2,lut,4100,.ram_d2_lut,./Micro_Dexed/freqlut.o,0x30007B00
RAM_D1,(anonymous),4096,.bss.pFlash,./Src/App/Hall/hall_adc.o,0x24001E90
RAM_D2,(anonymous),4096,.ram_d2_lut,./Micro_Dexed/EngineMkI.o,0x30002B00
RAM_D1,(anonymous),3708,.ram_d1_audio,./Src/Audio/microdexed_synth.o,0x24012620
RAM_D2,(anonymous),2800,.ram_d2_dma,./Drivers/Drv_app/Src/led_hw.o,0x30000000
RAM_D2,(anonymous),1668,.ram_d2_lut,./Src/Seq/seq_runtime.o,0x30039D24
RAM_D1,(anonymous),1556,.bss.g_ps,./Src/Param/param_store.o,0x240105A4
